order,name,type,varlab,table_name,usecols
121,qb303b_a_5,double,姓名5：年龄,adult2010,1
122,qb304_a_5,double,姓名5：是否健在,adult2010,1
123,qb305_a_5,double,姓名5：是多大年纪时去世,adult2010,1
124,qb307_a_5,double,姓名5：婚姻状况,adult2010,1
125,qb308_a_5,double,姓名5：最高学历,adult2010,1
126,qb309_occu_5,double,兄弟姐妹5:职业代码,adult2010,1
127,qb309_ind_5,double,兄弟姐妹5:行业代码,adult2010,1
128,qb310_a_5,double,姓名5：是否有行政/管理职务,adult2010,1
129,qb312_a_5,double,姓名5：居住地点,adult2010,1
130,qb312spcode_a_5,double,外省注明（编码）_a_5,adult2010,1
131,qb301_a_6,double,姓名6：家庭关系,adult2010,1
132,qb302_a_6,double,姓名6：血缘关系,adult2010,1
133,qb303y_a_6,double,姓名6：出生日期（年）,adult2010,1
134,qb303m_a_6,double,姓名6：出生日期（月）,adult2010,1
135,qb303a_a_6,double,姓名6：属相,adult2010,1
136,qb303b_a_6,double,姓名6：年龄,adult2010,1
137,qb304_a_6,double,姓名6：是否健在,adult2010,1
138,qb305_a_6,double,姓名6：是多大年纪时去世,adult2010,1
139,qb307_a_6,double,姓名6：婚姻状况,adult2010,1
140,qb308_a_6,double,姓名6：最高学历,adult2010,1
141,qb309_occu_6,double,兄弟姐妹6:职业代码,adult2010,1
142,qb309_ind_6,double,兄弟姐妹6:行业代码,adult2010,1
143,qb310_a_6,double,姓名6：是否有行政/管理职务,adult2010,1
144,qb312_a_6,double,姓名6：居住地点,adult2010,1
145,qb312spcode_a_6,double,外省注明（编码）_a_6,adult2010,1
146,qb301_a_7,double,姓名7：家庭关系,adult2010,1
147,qb302_a_7,double,姓名7：血缘关系,adult2010,1
148,qb303y_a_7,double,姓名7：出生日期（年）,adult2010,1
149,qb303m_a_7,double,姓名7：出生日期（月）,adult2010,1
150,qb303a_a_7,double,姓名7：属相,adult2010,1
151,qb303b_a_7,double,姓名7：年龄,adult2010,1
152,qb304_a_7,double,姓名7：是否健在,adult2010,1
153,qb305_a_7,double,姓名7：是多大年纪时去世,adult2010,1
154,qb307_a_7,double,姓名7：婚姻状况,adult2010,1
155,qb308_a_7,double,姓名7：最高学历,adult2010,1
156,qb309_occu_7,double,兄弟姐妹7:职业代码,adult2010,1
157,qb309_ind_7,double,兄弟姐妹7:行业代码,adult2010,1
158,qb310_a_7,double,姓名7：是否有行政/管理职务,adult2010,1
159,qb312_a_7,double,姓名7：居住地点,adult2010,1
160,qb312spcode_a_7,double,外省注明（编码）_a_7,adult2010,1
161,qb301_a_8,double,姓名8：家庭关系,adult2010,1
162,qb302_a_8,double,姓名8：血缘关系,adult2010,1
163,qb303y_a_8,double,姓名8：出生日期（年）,adult2010,1
164,qb303m_a_8,double,姓名8：出生日期（月）,adult2010,1
165,qb303a_a_8,double,姓名8：属相,adult2010,1
166,qb303b_a_8,double,姓名8：年龄,adult2010,1
167,qb304_a_8,double,姓名8：是否健在,adult2010,1
168,qb305_a_8,double,姓名8：是多大年纪时去世,adult2010,1
169,qb307_a_8,double,姓名8：婚姻状况,adult2010,1
170,qb308_a_8,double,姓名8：最高学历,adult2010,1
171,qb309_occu_8,double,兄弟姐妹8:职业代码,adult2010,1
172,qb309_ind_8,double,兄弟姐妹8:行业代码,adult2010,1
173,qb310_a_8,double,姓名8：是否有行政/管理职务,adult2010,1
174,qb312_a_8,double,姓名8：居住地点,adult2010,1
175,qb312spcode_a_8,double,外省注明（编码）_a_8,adult2010,1
176,qb301_a_9,double,姓名9：家庭关系,adult2010,1
177,qb302_a_9,double,姓名9：血缘关系,adult2010,1
178,qb303y_a_9,double,姓名9：出生日期（年）,adult2010,1
179,qb303m_a_9,double,姓名9：出生日期（月）,adult2010,1
180,qb303a_a_9,double,姓名9：属相,adult2010,1
181,qb303b_a_9,double,姓名9：年龄,adult2010,1
182,qb304_a_9,double,姓名9：是否健在,adult2010,1
183,qb305_a_9,double,姓名9：是多大年纪时去世,adult2010,1
184,qb307_a_9,double,姓名9：婚姻状况,adult2010,1
185,qb308_a_9,double,姓名9：最高学历,adult2010,1
186,qb309_occu_9,double,兄弟姐妹9:职业代码,adult2010,1
187,qb309_ind_9,double,兄弟姐妹9:行业代码,adult2010,1
188,qb310_a_9,double,姓名9：是否有行政/管理职务,adult2010,1
189,qb312_a_9,double,姓名9：居住地点,adult2010,1
190,qb312spcode_a_9,double,外省注明（编码）_a_9,adult2010,1
191,qb301_a_10,double,姓名10：家庭关系,adult2010,1
192,qb302_a_10,double,姓名10：血缘关系,adult2010,1
193,qb303y_a_10,double,姓名10：出生日期（年）,adult2010,1
194,qb303m_a_10,double,姓名10：出生日期（月）,adult2010,1
195,qb303a_a_10,double,姓名10：属相,adult2010,1
196,qb303b_a_10,double,姓名10：年龄,adult2010,1
197,qb304_a_10,double,姓名10：是否健在,adult2010,1
198,qb305_a_10,double,姓名10：是多大年纪时去世,adult2010,1
199,qb307_a_10,double,姓名10：婚姻状况,adult2010,1
200,qb308_a_10,double,姓名10：最高学历,adult2010,1
201,qb309_occu_10,double,兄弟姐妹10:职业代码,adult2010,1
202,qb309_ind_10,double,兄弟姐妹10:行业代码,adult2010,1
203,qb310_a_10,double,姓名10：是否有行政/管理职务,adult2010,1
204,qb312_a_10,double,姓名10：居住地点,adult2010,1
205,qb312spcode_a_10,double,外省注明（编码）_a_10,adult2010,1
206,qb301_a_11,double,姓名11：家庭关系,adult2010,1
207,qb302_a_11,double,姓名11：血缘关系,adult2010,1
208,qb303y_a_11,double,姓名11：出生日期（年）,adult2010,1
209,qb303m_a_11,double,姓名11：出生日期（月）,adult2010,1
210,qb303a_a_11,double,姓名11：属相,adult2010,1
211,qb303b_a_11,double,姓名11：年龄,adult2010,1
212,qb304_a_11,double,姓名11：是否健在,adult2010,1
213,qb305_a_11,double,姓名11：是多大年纪时去世,adult2010,1
214,qb307_a_11,double,姓名11：婚姻状况,adult2010,1
215,qb308_a_11,double,姓名11：最高学历,adult2010,1
216,qb309_occu_11,double,兄弟姐妹11:职业代码,adult2010,1
217,qb309_ind_11,double,兄弟姐妹11:行业代码,adult2010,1
218,qb310_a_11,double,姓名11：是否有行政/管理职务,adult2010,1
219,qb312_a_11,double,姓名11：居住地点,adult2010,1
220,qb312spcode_a_11,double,外省注明（编码）_a_11,adult2010,1
221,qb301_a_12,double,姓名12：家庭关系,adult2010,1
222,qb302_a_12,double,姓名12：血缘关系,adult2010,1
223,qb303y_a_12,double,姓名12：出生日期（年）,adult2010,1
224,qb303m_a_12,double,姓名12：出生日期（月）,adult2010,1
225,qb303a_a_12,double,姓名12：属相,adult2010,1
226,qb303b_a_12,double,姓名12：年龄,adult2010,1
227,qb304_a_12,double,姓名12：是否健在,adult2010,1
228,qb305_a_12,double,姓名12：是多大年纪时去世,adult2010,1
229,qb307_a_12,double,姓名12：婚姻状况,adult2010,1
230,qb308_a_12,double,姓名12：最高学历,adult2010,1
231,qb309_occu_12,double,兄弟姐妹12:职业代码,adult2010,1
232,qb309_ind_12,double,兄弟姐妹12:行业代码,adult2010,1
233,qb310_a_12,double,姓名12：是否有行政/管理职务,adult2010,1
234,qb312_a_12,double,姓名12：居住地点,adult2010,1
235,qb312spcode_a_12,double,外省注明（编码）_a_12,adult2010,1
236,qb301_a_13,double,姓名13：家庭关系,adult2010,1
237,qb302_a_13,double,姓名13：血缘关系,adult2010,1
238,qb303y_a_13,double,姓名13：出生日期（年）,adult2010,1
239,qb303m_a_13,double,姓名13：出生日期（月）,adult2010,1
240,qb303a_a_13,double,姓名13：属相,adult2010,1
241,qb303b_a_13,double,姓名13：年龄,adult2010,1
242,qb304_a_13,double,姓名13：是否健在,adult2010,1
243,qb305_a_13,double,姓名13：是多大年纪时去世,adult2010,1
244,qb307_a_13,double,姓名13：婚姻状况,adult2010,1
245,qb308_a_13,double,姓名13：最高学历,adult2010,1
246,qb309_occu_13,double,兄弟姐妹13:职业代码,adult2010,1
247,qb309_ind_13,double,兄弟姐妹13:行业代码,adult2010,1
248,qb310_a_13,double,姓名13：是否有行政/管理职务,adult2010,1
249,qb312_a_13,double,姓名13：居住地点,adult2010,1
250,qb312spcode_a_13,double,外省注明（编码）_a_13,adult2010,1
251,qb301_a_14,double,姓名14：家庭关系,adult2010,1
252,qb302_a_14,double,姓名14：血缘关系,adult2010,1
253,qb303y_a_14,double,姓名14：出生日期（年）,adult2010,1
254,qb303m_a_14,double,姓名14：出生日期（月）,adult2010,1
255,qb303a_a_14,double,姓名14：属相,adult2010,1
256,qb303b_a_14,double,姓名14：年龄,adult2010,1
257,qb304_a_14,double,姓名14：是否健在,adult2010,1
258,qb305_a_14,double,姓名14：是多大年纪时去世,adult2010,1
259,qb307_a_14,double,姓名14：婚姻状况,adult2010,1
260,qb308_a_14,double,姓名14：最高学历,adult2010,1
261,qb309_occu_14,double,兄弟姐妹14:职业代码,adult2010,1
262,qb309_ind_14,double,兄弟姐妹14:行业代码,adult2010,1
263,qb310_a_14,double,姓名14：是否有行政/管理职务,adult2010,1
264,qb312_a_14,double,姓名14：居住地点,adult2010,1
265,qb312spcode_a_14,double,外省注明（编码）_a_14,adult2010,1
266,qb301_a_15,double,姓名15：家庭关系,adult2010,1
267,qb302_a_15,double,姓名15：血缘关系,adult2010,1
268,qb303y_a_15,double,姓名15：出生日期（年）,adult2010,1
269,qb303m_a_15,double,姓名15：出生日期（月）,adult2010,1
270,qb303a_a_15,double,姓名15：属相,adult2010,1
271,qb303b_a_15,double,姓名15：年龄,adult2010,1
272,qb304_a_15,double,姓名15：是否健在,adult2010,1
273,qb305_a_15,double,姓名15：是多大年纪时去世,adult2010,1
274,qb307_a_15,double,姓名15：婚姻状况,adult2010,1
275,qb308_a_15,double,姓名15：最高学历,adult2010,1
276,qb309_occu_15,double,兄弟姐妹15:职业代码,adult2010,1
277,qb309_ind_15,double,兄弟姐妹15:行业代码,adult2010,1
278,qb310_a_15,double,姓名15：是否有行政/管理职务,adult2010,1
279,qb312_a_15,double,姓名15：居住地点,adult2010,1
280,qb312spcode_a_15,double,外省注明（编码）_a_15,adult2010,1
281,qb401,str12,请问您父亲是因为什么过世的,adult2010,1
282,qb501,str12,请问您母亲是因为什么过世的,adult2010,1
283,qb411_s_1,double,您的父亲和谁住在一起:成员1,adult2010,1
284,qb411_s_2,double,您的父亲和谁住在一起:成员2,adult2010,1
285,qb411_s_3,double,您的父亲和谁住在一起:成员3,adult2010,1
286,qb411_s_4,double,您的父亲和谁住在一起:成员4,adult2010,1
287,qb411_s_5,double,您的父亲和谁住在一起:成员5,adult2010,1
288,qb411_s_6,double,您的父亲和谁住在一起:成员6,adult2010,1
289,qb511_s_1,double,您的母亲和谁住在一起：成员1,adult2010,1
290,qb511_s_2,double,您的母亲和谁住在一起：成员2,adult2010,1
291,qb511_s_3,double,您的母亲和谁住在一起：成员3,adult2010,1
292,qb511_s_4,double,您的母亲和谁住在一起：成员4,adult2010,1
293,qb511_s_5,double,您的母亲和谁住在一起：成员5,adult2010,1
294,qb511_s_6,double,您的母亲和谁住在一起：成员6,adult2010,1
295,qb511_s_7,double,您的母亲和谁住在一起：成员7,adult2010,1
296,qb511_s_8,double,您的母亲和谁住在一起：成员8,adult2010,1
297,qc1,double,到目前为止，您已完成（毕业）的最高学历是,adult2010,1
298,qc101,double,您读博士期间是脱产还是在职,adult2010,1
299,qc102,double,您博士修读的是哪个学科,adult2010,1
300,qc104,double,您是哪年博士毕业/肄业/结业,adult2010,1
301,qc105,double,您博士读了几年,adult2010,1
302,qc107,double,您是否获得了博士学位,adult2010,1
303,qc2,double,请问您是否读过硕士,adult2010,1
304,qc201,double,您读硕士期间是脱产还是在职,adult2010,1
305,qc202,double,您硕士修读的是哪个学科,adult2010,1
306,qc204,double,您是哪年硕士毕业/肄业/结业,adult2010,1
307,qc205,double,您硕士读了几年,adult2010,1
308,qc207,double,您是否获得了硕士学位,adult2010,1
309,qc3,double,请问您是否读过本科,adult2010,1
310,qc301,double,您读的是哪类本科,adult2010,1
311,qc302,double,您本科修读的是哪个学科,adult2010,1
312,qc304,double,您是哪年本科毕业/肄业,adult2010,1
313,qc305,double,您本科读了几年,adult2010,1
314,qc307,double,您是否获得了学士学位,adult2010,1
315,qc4,double,请问您是否读过大专,adult2010,1
316,qc401,double,您读的是哪类大专,adult2010,1
317,qc402,double,您大专修读的是哪个学科,adult2010,1
318,qc404,double,您是哪年大专毕业/肄业/结业,adult2010,1
319,qc405,double,您大专读了几年,adult2010,1
320,qc407,double,您是否获得了大专毕业证书,adult2010,1
321,qc5,double,请问您是否读过高中,adult2010,1
322,qc501,double,您上的是哪类高中,adult2010,1
323,qc502,double,您是哪年高中毕业/肄业/结业,adult2010,1
324,qc503,double,您高中读了几年,adult2010,1
325,qc505,double,您是否获得了高中毕业证书,adult2010,1
326,qc6,double,请问您是否读过初中,adult2010,1
327,qc601,double,您上的是哪类初中,adult2010,1
328,qc602,double,您是哪年初中毕业/肄业/结业,adult2010,1
329,qc603,double,您初中读了几年,adult2010,1
330,qc605,double,您是否获得了初中毕业证书,adult2010,1
331,qc7,double,请问您是否读过小学/私塾,adult2010,1
332,qc701,double,您上的是哪类小学,adult2010,1
333,qc702,double,您是哪年小学毕业/肄业/结业,adult2010,1
334,qc703,double,您读了几年小学,adult2010,1
335,qc705,double,您是否获得了小学毕业证书,adult2010,1
336,qc8,double,您认为自己最少应该念完哪种教育程度,adult2010,1
337,qd101,double,您认为能在交流中使用如下语言有多重要：普通话,adult2010,1
338,qd102,double,您认为能在交流中使用如下语言有多重要：本地话,adult2010,1
339,qd103,double,您认为能在交流中使用如下语言有多重要：英语,adult2010,1
340,qd104,double,您认为能在交流中使用如下语言有多重要：其他外语,adult2010,1
341,qd105,double,您认为能在交流中使用如下语言有多重要：外地方言,adult2010,1
342,qd106,double,您认为能在交流中使用如下语言有多重要：少数民族语言,adult2010,1
343,qd2,double,您平常与家人交谈主要使用什么语言,adult2010,1
344,qd3,double,您现在在上学吗,adult2010,1
345,kr1,double,您现在上哪个阶段,adult2010,1
346,kr2,double,请问您现在上哪类小学,adult2010,1
347,kr3,double,您现在上的是哪类初中,adult2010,1
348,kr4,double,您现在上的是哪类高中,adult2010,1
349,kr401,double,您现在上几年级,adult2010,1
350,kr402,double,您就读学校的类型是,adult2010,1
351,kr403,double,您就读的班级是否是重点班,adult2010,1
352,kr404,double,您就读的学校是否全日制,adult2010,1
353,kr405,double,您就读的学校是否寄宿,adult2010,1
354,kr410,double,最近非假期的1个月，您参加过或正在参加家教/辅导班吗,adult2010,1
355,kr411,double,最近非假期的1个月，您平均每周花多长时间参加辅导班（小时）,adult2010,1
356,kr412_s_1,double,您所有参加过的或正在参加家教/辅导班有哪些：选择1,adult2010,1
357,kr412_s_2,double,您所有参加过的或正在参加家教/辅导班有哪些：选择2,adult2010,1
358,kr412_s_3,double,您所有参加过的或正在参加家教/辅导班有哪些：选择3,adult2010,1
359,kr412_s_4,double,您所有参加过的或正在参加家教/辅导班有哪些：选择4,adult2010,1
360,kr412_s_5,double,您所有参加过的或正在参加家教/辅导班有哪些：选择5,adult2010,1
361,kr412_s_6,double,您所有参加过的或正在参加家教/辅导班有哪些：选择6,adult2010,1
362,kr412_s_7,double,您所有参加过的或正在参加家教/辅导班有哪些：选择7,adult2010,1
363,kr420,double,这学期/上学期，你们班有多少人,adult2010,1
364,kr421,double,您最近一次大考（期中或期末）语文考试的成绩是多少,adult2010,1
365,kr422,double,您这次考试语文考试分数在班上排第几名,adult2010,1
366,kr423,double,您最近一次大考（期中或期末）数学考试的成绩是多少,adult2010,1
367,kr424,double,您这次数学考试分数在班上排第几名,adult2010,1
368,kr430,double,最近非假期的一个月，您是否曾经请假或旷课,adult2010,1
369,kr431,double,您请假或旷课最主要原因是,adult2010,1
370,kr432,double,最近非假期的一个月，您一共请假和旷课多少次数,adult2010,1
371,kr440,double,请问您目前所学的专业是,adult2010,1
372,kr5,double,请问您上的是哪类大专,adult2010,1
373,kr6,double,请问您现在上的是哪类本科,adult2010,1
374,kr601,double,请问您现在所学专业属于哪个学科,adult2010,1
375,kr602,double,最近非假期的一个月，您所在的班里有多少人,adult2010,1
376,kr603,double,您最近一次大考（期中或期末）各门课的平均分是,adult2010,1
377,kr604,double,您这次大考的总成绩在班级中的排名是第几名,adult2010,1
378,kr7,double,请问您上的是哪类硕士生,adult2010,1
379,kr8,double,请问您上的是哪类博士生,adult2010,1
380,kr801,double,请问您现在所学专业属于哪个学科,adult2010,1
381,ks1,double,去年，您是否担任过班级或学校的学生干部,adult2010,1
382,ks101,double,去年，您担任班级或学校的学生干部多长时间(月),adult2010,1
383,ks2,double,去年，您是否参加学生社团组织,adult2010,1
384,ks201,double,去年，您参加了几个社团,adult2010,1
385,ks202,double,去年，您是否担任社团干部,adult2010,1
386,ks3,double,您在学校与同学日常交谈主要使用什么语言,adult2010,1
387,ks4,double,您认为学习成绩好，天赋占多大的比例%,adult2010,1
388,ks501,double,您给自己的学业打几分,adult2010,1
389,ks502,double,您觉得自己学习上的压力为哪一级,adult2010,1
390,ks503,double,作为学生，您认为自己有多优秀,adult2010,1
391,ks504,double,您认为自己在多大程度上适合做学生干部,adult2010,1
392,ks601,double,观点：我学习很努力,adult2010,1
393,ks602,double,观点：我在课堂上会集中精力学习,adult2010,1
394,ks603,double,观点：我会在完成家庭作业时核对数遍，看看是否正确,adult2010,1
395,ks604,double,观点：我遵守校规校纪,adult2010,1
396,ks605,double,观点：我喜欢把我在学校的物品摆放整齐,adult2010,1
397,ks606,double,观点：我只在完成家庭作业后才玩,adult2010,1
398,ks701,double,满意度：您对自己的学校满意吗,adult2010,1
399,ks702,double,满意度：您对自己的班主任满意吗,adult2010,1
400,ks703,double,满意度：您对自己的语文老师满意吗,adult2010,1
401,ks704,double,满意度：您对自己的数学老师满意吗,adult2010,1
402,ks705,double,满意度：您对自己的外语老师满意吗,adult2010,1
403,ks901,double,您去年的教育支出（元）：学杂费,adult2010,1
404,ks902,double,您去年的教育支出（元）：书本费,adult2010,1
405,ks903,double,您去年的教育支出（元）：课外辅导/家教费,adult2010,1
406,ks904,double,您去年的教育支出（元）：住宿费,adult2010,1
407,ks905,double,您去年的教育支出（元）：交通费,adult2010,1
408,ks906,double,您去年的教育支出（元）：其他费用,adult2010,1
409,ks90total,double,您去年的教育支出合计(元),adult2010,1
410,ks910,double,您去年的教育支出（元）：所有费用中，家庭支付的为多少,adult2010,1
411,qe1,double,请问您现在的婚姻状态是,adult2010,1
412,qe1_best,double,您现在的婚姻状态的修正,adult2010,1
413,qe2,double,请问您是初婚吗,adult2010,1
414,qe201,double,请问这是您的第几次婚姻,adult2010,1
415,qe210y,double,您与现在的配偶的结婚日期是（年）,adult2010,1
416,qe210m,double,您与现在的配偶的结婚日期是（月）,adult2010,1
417,qe211y,double,您现在的配偶的出生年月（年）,adult2010,1
418,qe211m,double,您现在的配偶的出生年月（月）,adult2010,1
419,qe212,double,您与现在的配偶结婚前是否同居过一段时间,adult2010,1
420,qe213,double,请问同居了多长时间（月）,adult2010,1
421,qe214,double,您与现在的配偶是如何认识的,adult2010,1
422,qe601,double,请问您与初婚配偶分开是因为,adult2010,1
423,qe602y,double,请问您与初婚配偶离婚的时间是（年）,adult2010,1
424,qe602m,double,请问您与初婚配偶离婚的时间是（月）,adult2010,1
425,qe603y,double,请问您的初婚配偶过世的时间是（年）,adult2010,1
426,qe603m,double,请问您的初婚配偶过世的时间是（月）,adult2010,1
427,qe605y,double,您与初婚配偶的结婚日期是（年）,adult2010,1
428,qe605y_best,double,您与初婚配偶的结婚日期（年）- 修订,adult2010,1
429,qe605m,double,您与初婚配偶的结婚日期是（月）,adult2010,1
430,qe606y,double,请问您初婚配偶的出生年月是（年）,adult2010,1
431,qe606y_best,double,您初婚配偶的出生年月是（年）- 修订,adult2010,1
432,qe606m,double,请问您初婚配偶的出生年月是（月）,adult2010,1
433,qe607,double,请问您与初婚配偶结婚前是否同居过一段时间,adult2010,1
434,qe608,double,请问同居了多长时间（月）,adult2010,1
435,qe609,double,您与您的初婚配偶是如何认识的,adult2010,1
436,qe301y,double,您与现在的同伴开始同居的时间是（年）,adult2010,1
437,qe301m,double,您与现在的同伴开始同居的时间是（月）,adult2010,1
